Tweet ID,text,attachments,author_id,context_annotations,conversation_id,created_at,entities,geo,in_reply_to_user_id,lang,referenced_tweets,followers_count,verified,entities_hashtags,retweet_count,reply_count,like_count,quote_count,total_engagements
593926958330695680,"RT @MadisonElleBeer: ""Everyone deserves to be loved for who they are."" - Bruce Jenner",,2216879923,,593926958330695680,2015-04-30 23:56:36+00:00,"{'mentions': [{'start': 3, 'end': 19, 'username': 'madisonellebeer', 'id': '4735652810'}], 'annotations': [{'start': 73, 'end': 84, 'probability': 0.9967, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,[<ReferencedTweet id=592495233713065984 type=retweeted],901,False,,5037,0,0,0,5037
593926943898279936,RT @Ax_about_me: Why is Bruce Jenner getting all this attention??? Mr.Garrison did this same thing and no one said a word.,,1043645366,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10029016738', 'name': 'Amici di Maria de Filippi'}}]",593926943898279936,2015-04-30 23:56:32+00:00,"{'mentions': [{'start': 3, 'end': 15, 'username': 'Ax_about_me', 'id': '436246205'}], 'annotations': [{'start': 24, 'end': 35, 'probability': 0.9983, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}, {'start': 67, 'end': 77, 'probability': 0.9634, 'type': 'Person', 'normalized_text': 'Mr.Garrison'}]}",,,en,[<ReferencedTweet id=593925121049505792 type=retweeted],329,False,,5,0,0,0,5
593926912507936768,Just heard a couple of 8 year olds discussing Bruce Jenner and being transgender like it was nothing. There's hope,,3930521,,593926912507936768,2015-04-30 23:56:25+00:00,"{'annotations': [{'start': 46, 'end': 57, 'probability': 0.9984, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",{'place_id': '306c7e290a3155bd'},,en,,4521,False,,0,1,2,0,3
593926905457287168,RT @Kaqui_: RT if you're proud of Bruce Jenner ♥,,2602412528,,593926905457287168,2015-04-30 23:56:23+00:00,"{'mentions': [{'start': 3, 'end': 10, 'username': 'Kaqui_', 'id': '55705393'}], 'annotations': [{'start': 34, 'end': 45, 'probability': 0.997, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,[<ReferencedTweet id=591807318498619392 type=retweeted],5,False,,5201,0,0,0,5201
593926904673017856,Bruce Jenner is all smiles as he poses with two of his ex wives: http://t.co/Qcviz2Zlag via @AOL mmmmmm NO KRIS?  not a #KUWTK opportunity?,,716171473,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10000283194', 'name': 'Keeping Up With the Kardashians', 'description': 'Life with the Kardashian family. \n\nPhoto via @KUWTK'}}, {'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10028848447', 'name': ""L'incroyable famille Kardashian""}}, {'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10035545983', 'name': 'Keeping Up With the Kardashians (Ire)'}}, {'domain': {'id': '4', 'name': 'TV Episodes', 'description': 'Television show episodes'}, 'entity': {'id': '10037165446', 'name': ""L'incroyable famille Kardashian""}}]",593926904673017856,2015-04-30 23:56:23+00:00,"{'hashtags': [{'start': 120, 'end': 126, 'tag': 'KUWTK'}], 'urls': [{'start': 65, 'end': 87, 'url': 'http://t.co/Qcviz2Zlag', 'expanded_url': 'http://aol.it/1E0g2dK', 'display_url': 'aol.it/1E0g2dK'}], 'mentions': [{'start': 92, 'end': 96, 'username': 'AOL', 'id': '66237835'}], 'annotations': [{'start': 0, 'end': 11, 'probability': 0.9966, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}, {'start': 107, 'end': 110, 'probability': 0.8114, 'type': 'Person', 'normalized_text': 'KRIS'}]}",,,en,,678,False,['KUWTK'],0,0,0,0,0
593926818845032448,#television #news #entertainment #LosAngeles How did late-night comics handle Bruce Jenner's coming out as transge… http://t.co/y84wIbnj13,,2360119819,,593926818845032448,2015-04-30 23:56:02+00:00,"{'hashtags': [{'start': 0, 'end': 11, 'tag': 'television'}, {'start': 12, 'end': 17, 'tag': 'news'}, {'start': 18, 'end': 32, 'tag': 'entertainment'}, {'start': 33, 'end': 44, 'tag': 'LosAngeles'}], 'urls': [{'start': 116, 'end': 138, 'url': 'http://t.co/y84wIbnj13', 'expanded_url': 'http://buff.ly/1QOKbXt', 'display_url': 'buff.ly/1QOKbXt'}], 'annotations': [{'start': 78, 'end': 89, 'probability': 0.998, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,,1192,False,"['television', 'news', 'entertainment', 'LosAngeles']",0,0,0,0,0
593926811794415616,RT @TMZ: Bruce Jenner's ex-wives are by his side... but where's Kris Jenner? http://t.co/ZXPisFv24p http://t.co/aSgZb83eni,{'media_keys': ['3_593896384643899392']},65748060,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10029034853', 'name': 'TMZ'}}]",593926811794415616,2015-04-30 23:56:01+00:00,"{'urls': [{'start': 77, 'end': 99, 'url': 'http://t.co/ZXPisFv24p', 'expanded_url': 'http://tmz.me/qfNiJtY', 'display_url': 'tmz.me/qfNiJtY'}, {'start': 100, 'end': 122, 'url': 'http://t.co/aSgZb83eni', 'expanded_url': 'https://twitter.com/TMZ/status/593896384757112833/photo/1', 'display_url': 'pic.twitter.com/aSgZb83eni'}], 'mentions': [{'start': 3, 'end': 7, 'username': 'TMZ', 'id': '16331010'}], 'annotations': [{'start': 9, 'end': 20, 'probability': 0.9976, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}, {'start': 64, 'end': 74, 'probability': 0.9932, 'type': 'Person', 'normalized_text': 'Kris Jenner'}]}",,,en,[<ReferencedTweet id=593896384757112833 type=retweeted],27515,False,,42,0,0,0,42
593926773970182144,Is it too early to consider Bruce Jenner a milf? #replytweet,,423878971,,593926773970182144,2015-04-30 23:55:52+00:00,"{'hashtags': [{'start': 49, 'end': 60, 'tag': 'replytweet'}], 'annotations': [{'start': 28, 'end': 39, 'probability': 0.9979, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,,583,False,['replytweet'],1,1,14,0,16
593926737676869632,Wendy Williams speaks on the Bruce Jenner interview http://t.co/yJgXEQb6jL,,2724933587,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10000268979', 'name': 'The Wendy Williams Show', 'description': 'Radio host and author Wendy Williams joins the daytime syndicated talk-show field, bringing her distinctive personality to television. In addition to celebrity interviews, regular segments include Hot Topics, which usually opens the show and features Williams giving her honest, opinionated and often-unpredictable take on the latest pop-culture and entertainment headlines, and Ask Wendy, in which she offers advice to audience members seeking solutions to their problems. The daily, hourlong program is broadcast from a studio in New York City.'}}]",593926737676869632,2015-04-30 23:55:43+00:00,"{'urls': [{'start': 52, 'end': 74, 'url': 'http://t.co/yJgXEQb6jL', 'expanded_url': 'http://147vibes.com/?p=4539', 'display_url': '147vibes.com/?p=4539'}], 'annotations': [{'start': 0, 'end': 13, 'probability': 0.9976, 'type': 'Person', 'normalized_text': 'Wendy Williams'}, {'start': 29, 'end': 40, 'probability': 0.9926, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,,1913,False,,0,0,0,0,0
593926653341863936,"[STREAM/DOWNLOAD] New Brilliant Idiots Talk: Baltimore Riots, Transphobia and Bruce Jenner- http://t.co/vB73KQtVhi",,2383472738,,593926653341863936,2015-04-30 23:55:23+00:00,"{'urls': [{'start': 92, 'end': 114, 'url': 'http://t.co/vB73KQtVhi', 'expanded_url': 'http://bit.ly/1EGUuaN', 'display_url': 'bit.ly/1EGUuaN'}], 'annotations': [{'start': 45, 'end': 53, 'probability': 0.3841, 'type': 'Place', 'normalized_text': 'Baltimore'}, {'start': 78, 'end': 89, 'probability': 0.9904, 'type': 'Person', 'normalized_text': 'Bruce Jenner'}]}",,,en,,1972,False,,0,0,0,0,0
