Tweet ID,text,attachments,author_id,context_annotations,conversation_id,created_at,entities,geo,in_reply_to_user_id,lang,public_metrics,referenced_tweets,entities_hashtags
1453086116236640264,"RT @insertdisc5: [deltarune] hello, world! https://t.co/64qu8xhb7J","{'media_keys': ['3_1452801998961659917', '3_1452802003957161987', '3_1452802007685869577', '3_1452802012228333572']}",1251288239954165761,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1057622481396068352', 'name': 'Undertale', 'description': 'Undertale'}}]",1453086116236640264,2021-10-26 19:48:21+00:00,"{'mentions': [{'start': 3, 'end': 15, 'username': 'insertdisc5', 'id': '1555750129'}], 'urls': [{'start': 43, 'end': 66, 'url': 'https://t.co/64qu8xhb7J', 'expanded_url': 'https://twitter.com/insertdisc5/status/1452802145921732610/photo/1', 'display_url': 'pic.twitter.com/64qu8xhb7J'}, {'start': 43, 'end': 66, 'url': 'https://t.co/64qu8xhb7J', 'expanded_url': 'https://twitter.com/insertdisc5/status/1452802145921732610/photo/1', 'display_url': 'pic.twitter.com/64qu8xhb7J'}, {'start': 43, 'end': 66, 'url': 'https://t.co/64qu8xhb7J', 'expanded_url': 'https://twitter.com/insertdisc5/status/1452802145921732610/photo/1', 'display_url': 'pic.twitter.com/64qu8xhb7J'}, {'start': 43, 'end': 66, 'url': 'https://t.co/64qu8xhb7J', 'expanded_url': 'https://twitter.com/insertdisc5/status/1452802145921732610/photo/1', 'display_url': 'pic.twitter.com/64qu8xhb7J'}]}",,,en,"{'retweet_count': 168, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1452802145921732610 type=retweeted],
1453086094166159362,"Hello, Blockchain World!

#Valuarion",,1453072433066373122,"[{'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '857879456773357569', 'name': 'Technology', 'description': 'Technology'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '1001503516555337728', 'name': 'Blockchain', 'description': 'Blockchain'}}]",1453086094166159362,2021-10-26 19:48:16+00:00,"{'hashtags': [{'start': 26, 'end': 36, 'tag': 'Valuarion'}]}",,,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",,"[{'start': 26, 'end': 36, 'tag': 'Valuarion'}]"
1453086065229664256,"Hello, world! https://t.co/3h5axTaYv2",{'media_keys': ['3_1453086063249932289']},1421361297686360066,,1453086065229664256,2021-10-26 19:48:09+00:00,"{'urls': [{'start': 14, 'end': 37, 'url': 'https://t.co/3h5axTaYv2', 'expanded_url': 'https://twitter.com/player_edition/status/1453086065229664256/photo/1', 'display_url': 'pic.twitter.com/3h5axTaYv2'}]}",,,en,"{'retweet_count': 0, 'reply_count': 1, 'like_count': 2, 'quote_count': 0}",,
1453086026763681792,"@Habibagreen Hello! My name is Ekat! And I’m one of the first few dancers in the world creating Dance NFTs:)
https://t.co/qCvI3AieVP",,1435307793460776960,"[{'domain': {'id': '45', 'name': 'Brand Vertical', 'description': 'Top level entities that describe a Brands industry'}, 'entity': {'id': '781974596148793345', 'name': 'Business & finance'}}, {'domain': {'id': '30', 'name': 'Entities [Entity Service]', 'description': 'Entity Service top level domain, every item that is in Entity Service should be in this domain'}, 'entity': {'id': '847868745150119936', 'name': 'Home & family', 'description': 'Hobbies and interests'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '847870201580232704', 'name': 'Dance', 'description': 'Dance'}}, {'domain': {'id': '66', 'name': 'Interests and Hobbies Category', 'description': 'A grouping of interests and hobbies entities, like Novelty Food or Destinations'}, 'entity': {'id': '913142676819648512', 'name': 'Cryptocurrencies', 'description': 'Cryptocurrency'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '847894353708068864', 'name': 'Investing', 'description': 'Investing'}}, {'domain': {'id': '67', 'name': 'Interests and Hobbies', 'description': 'Interests, opinions, and behaviors of individuals, groups, or cultures; like Speciality Cooking or Theme Parks'}, 'entity': {'id': '1075097515064623104', 'name': 'Ballet', 'description': 'Ballet'}}]",1453063977454407684,2021-10-26 19:48:00+00:00,"{'mentions': [{'start': 0, 'end': 12, 'username': 'Habibagreen', 'id': '1419996329422557201'}], 'annotations': [{'start': 31, 'end': 34, 'probability': 0.7868, 'type': 'Person', 'normalized_text': 'Ekat'}], 'urls': [{'start': 109, 'end': 132, 'url': 'https://t.co/qCvI3AieVP', 'expanded_url': 'https://twitter.com/ekatdance/status/1448138925394956292?s=21', 'display_url': 'twitter.com/ekatdance/stat…'}]}",,1419996329422557201,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}","[<ReferencedTweet id=1448138925394956292 type=quoted, <ReferencedTweet id=1453063977454407684 type=replied_to]",
1453085971927420928,RT @1_LoveLiberty: Hello World ! I'm 15 minutes old 🥰💙 https://t.co/vfkgZjVeCY,{'media_keys': ['3_1452584689408040963']},1365740932969230337,,1453085971927420928,2021-10-26 19:47:47+00:00,"{'mentions': [{'start': 3, 'end': 17, 'username': '1_LoveLiberty', 'id': '2924434627'}], 'urls': [{'start': 55, 'end': 78, 'url': 'https://t.co/vfkgZjVeCY', 'expanded_url': 'https://twitter.com/1_LoveLiberty/status/1452584726972207106/photo/1', 'display_url': 'pic.twitter.com/vfkgZjVeCY'}]}",,,en,"{'retweet_count': 1006, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1452584726972207106 type=retweeted],
1453085894282551296,"RT @insertdisc5: [deltarune] hello, world! https://t.co/64qu8xhb7J","{'media_keys': ['3_1452801998961659917', '3_1452802003957161987', '3_1452802007685869577', '3_1452802012228333572']}",1276234072281489408,"[{'domain': {'id': '71', 'name': 'Video Game', 'description': 'A video game like Overwatch'}, 'entity': {'id': '1057622481396068352', 'name': 'Undertale', 'description': 'Undertale'}}]",1453085894282551296,2021-10-26 19:47:28+00:00,"{'mentions': [{'start': 3, 'end': 15, 'username': 'insertdisc5', 'id': '1555750129'}], 'urls': [{'start': 43, 'end': 66, 'url': 'https://t.co/64qu8xhb7J', 'expanded_url': 'https://twitter.com/insertdisc5/status/1452802145921732610/photo/1', 'display_url': 'pic.twitter.com/64qu8xhb7J'}, {'start': 43, 'end': 66, 'url': 'https://t.co/64qu8xhb7J', 'expanded_url': 'https://twitter.com/insertdisc5/status/1452802145921732610/photo/1', 'display_url': 'pic.twitter.com/64qu8xhb7J'}, {'start': 43, 'end': 66, 'url': 'https://t.co/64qu8xhb7J', 'expanded_url': 'https://twitter.com/insertdisc5/status/1452802145921732610/photo/1', 'display_url': 'pic.twitter.com/64qu8xhb7J'}, {'start': 43, 'end': 66, 'url': 'https://t.co/64qu8xhb7J', 'expanded_url': 'https://twitter.com/insertdisc5/status/1452802145921732610/photo/1', 'display_url': 'pic.twitter.com/64qu8xhb7J'}]}",,,en,"{'retweet_count': 168, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1452802145921732610 type=retweeted],
1453085876951699456,"RT @bahiyyihub: [TRANS] 211026 greetings from #KEP1ER 

chaehyun: 2, 3-
👥: hello ~!
chaehyun: we're the final planet top9 from gp999 who'll…",,1135912012569964544,,1453085876951699456,2021-10-26 19:47:24+00:00,"{'hashtags': [{'start': 46, 'end': 53, 'tag': 'KEP1ER'}], 'mentions': [{'start': 3, 'end': 14, 'username': 'bahiyyihub', 'id': '1424769168126078986'}]}",,,en,"{'retweet_count': 63, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1452870800969650180 type=retweeted],"[{'start': 46, 'end': 53, 'tag': 'KEP1ER'}]"
1453085850065985538,"Hello, World!",,1453085127270014977,,1453085850065985538,2021-10-26 19:47:18+00:00,,,,en,"{'retweet_count': 0, 'reply_count': 0, 'like_count': 1, 'quote_count': 0}",,
1453085831476899841,RT @KanchanGupta: “So-called bigoted 'outrage' against Mohammad Shami after India-Pakistan T20 World Cup match was an orchestrated attempt…,,1340894529604497408,"[{'domain': {'id': '6', 'name': 'Sports Event'}, 'entity': {'id': '1437713821452234752', 'name': ""2021 ICC Men's T20 World Cup""}}, {'domain': {'id': '6', 'name': 'Sports Event'}, 'entity': {'id': '1437805861628375045', 'name': 'Pakistan vs New Zealand'}}, {'domain': {'id': '11', 'name': 'Sport', 'description': 'Types of sports, like soccer and basketball'}, 'entity': {'id': '897814293395103744', 'name': 'Cricket'}}, {'domain': {'id': '12', 'name': 'Sports Team', 'description': 'A sports team organization, like Arsenal and the Boston Celtics'}, 'entity': {'id': '897814234498686976', 'name': 'Pakistan'}}, {'domain': {'id': '12', 'name': 'Sports Team', 'description': 'A sports team organization, like Arsenal and the Boston Celtics'}, 'entity': {'id': '897814278568161280', 'name': 'India'}}, {'domain': {'id': '26', 'name': 'Sports League', 'description': ''}, 'entity': {'id': '1437802949418229761', 'name': ""ICC Men's T20 World Cup""}}, {'domain': {'id': '40', 'name': 'Sports Series', 'description': 'A grouping of sports events or series, for example 2014 pre-season, a tournament, or round'}, 'entity': {'id': '1437802949418229761', 'name': ""ICC Men's T20 World Cup""}}]",1453085831476899841,2021-10-26 19:47:13+00:00,"{'mentions': [{'start': 3, 'end': 16, 'username': 'KanchanGupta', 'id': '44704537'}], 'annotations': [{'start': 55, 'end': 68, 'probability': 0.9795, 'type': 'Person', 'normalized_text': 'Mohammad Shami'}, {'start': 76, 'end': 80, 'probability': 0.9605, 'type': 'Place', 'normalized_text': 'India'}, {'start': 82, 'end': 103, 'probability': 0.5673, 'type': 'Other', 'normalized_text': 'Pakistan T20 World Cup'}]}",,,en,"{'retweet_count': 549, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1453035181443469312 type=retweeted],
1453085700174254080,RT @1_LoveLiberty: Hello World ! I'm 15 minutes old 🥰💙 https://t.co/vfkgZjVeCY,{'media_keys': ['3_1452584689408040963']},96590397,,1453085700174254080,2021-10-26 19:46:42+00:00,"{'mentions': [{'start': 3, 'end': 17, 'username': '1_LoveLiberty', 'id': '2924434627'}], 'urls': [{'start': 55, 'end': 78, 'url': 'https://t.co/vfkgZjVeCY', 'expanded_url': 'https://twitter.com/1_LoveLiberty/status/1452584726972207106/photo/1', 'display_url': 'pic.twitter.com/vfkgZjVeCY'}]}",,,en,"{'retweet_count': 1006, 'reply_count': 0, 'like_count': 0, 'quote_count': 0}",[<ReferencedTweet id=1452584726972207106 type=retweeted],
