Tweet ID,text,attachments,author_id,context_annotations,conversation_id,created_at,entities,geo,in_reply_to_user_id,lang,referenced_tweets,followers_count,verified,entities_hashtags,retweet_count,reply_count,like_count,quote_count,total_engagements
1460068382691115008,RT @tveyerus: yall realise you can hate caitlin jenner without insulting her appearance or being transphobic right? just so we all clear,,908690330064535552,,1460068382691115008,2021-11-15 02:13:23+00:00,"{'mentions': [{'start': 3, 'end': 12, 'username': 'tveyerus', 'id': '1026616033774198786'}], 'annotations': [{'start': 40, 'end': 53, 'probability': 0.9932, 'type': 'Person', 'normalized_text': 'caitlin jenner'}]}",,,en,[<ReferencedTweet id=1460066974092779524 type=retweeted],374,False,,1,0,0,0,1
1460066974092779524,yall realise you can hate caitlin jenner without insulting her appearance or being transphobic right? just so we all clear,,1026616033774198786,,1460066974092779524,2021-11-15 02:07:48+00:00,"{'annotations': [{'start': 26, 'end': 39, 'probability': 0.9933, 'type': 'Person', 'normalized_text': 'caitlin jenner'}]}",,,en,,504,False,,1,0,3,0,4
1460052954560356356,@BriMott Yes just close your mouth once in a while. You look like Caitlin Jenner and you pimp a game for old ladies and probably on the verge of going bankrupt,,1460052303910633472,"[{'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596157181956', 'name': 'Online Site'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '1066103029693263872', 'name': 'The Verge', 'description': 'The Verge'}}]",1460049966899027969,2021-11-15 01:12:05+00:00,"{'mentions': [{'start': 0, 'end': 8, 'username': 'BriMott', 'id': '515039134'}], 'annotations': [{'start': 66, 'end': 79, 'probability': 0.9972, 'type': 'Person', 'normalized_text': 'Caitlin Jenner'}]}",,515039134,en,[<ReferencedTweet id=1460049966899027969 type=replied_to],1,False,,0,1,0,0,1
1460051630569709571,"@CummingsRussell That’s Caitlin Jenner, formerly Bruce who is being applauded for having the courage to follow his need to transform into a woman. The point is our men in uniform do not get that much recognition and it’s a damn shame.",,868553155306377217,,1459955035211710467,2021-11-15 01:06:49+00:00,"{'mentions': [{'start': 0, 'end': 16, 'username': 'CummingsRussell', 'id': '882950916'}], 'annotations': [{'start': 24, 'end': 37, 'probability': 0.9968, 'type': 'Person', 'normalized_text': 'Caitlin Jenner'}, {'start': 49, 'end': 53, 'probability': 0.9756, 'type': 'Person', 'normalized_text': 'Bruce'}]}",,882950916,en,[<ReferencedTweet id=1460048074475245571 type=replied_to],5775,False,,0,1,1,0,2
1460049124586242048,@MattLauritz @col_grant_in @AkselVegas @chelseaperetti Sure why don’t you ask Caitlin Jenner! Or Blair’s White on YouTube! And with that logic are you telling me only the people being joked about can determine if that something is blankist? So if I decide calling me a cracker is racist then everyone has to stfu… sounds good!,,1406693735069454337,"[{'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1012690700582858752', 'name': 'Chelsea Peretti', 'description': 'Chelsea Peretti'}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '1012690700582858752', 'name': 'Chelsea Peretti', 'description': 'Chelsea Peretti'}}, {'domain': {'id': '46', 'name': 'Brand Category', 'description': 'Categories within Brand Verticals that narrow down the scope of Brands'}, 'entity': {'id': '781974596752842752', 'name': 'Services'}}, {'domain': {'id': '47', 'name': 'Brand', 'description': 'Brands and Companies'}, 'entity': {'id': '10029382357', 'name': 'YouTube'}}]",1459996706888503299,2021-11-15 00:56:52+00:00,"{'mentions': [{'start': 0, 'end': 12, 'username': 'MattLauritz', 'id': '1459764085378011144'}, {'start': 13, 'end': 26, 'username': 'col_grant_in', 'id': '585111040'}, {'start': 27, 'end': 38, 'username': 'AkselVegas', 'id': '1181168662671048704'}, {'start': 39, 'end': 54, 'username': 'chelseaperetti', 'id': '78194111'}], 'annotations': [{'start': 78, 'end': 91, 'probability': 0.9951, 'type': 'Person', 'normalized_text': 'Caitlin Jenner'}, {'start': 97, 'end': 101, 'probability': 0.9457, 'type': 'Person', 'normalized_text': 'Blair'}, {'start': 114, 'end': 120, 'probability': 0.5669, 'type': 'Product', 'normalized_text': 'YouTube'}]}",,1459764085378011144,en,[<ReferencedTweet id=1460021808564899845 type=replied_to],1,False,,0,1,0,0,1
1460021044031410180,"@rsosa8 Caitlin Jenner
Serena Williams 
Angelina Jolie

Tom Brady
Nolan Ryan 
Mick Jagger",,565681716,"[{'domain': {'id': '3', 'name': 'TV Shows', 'description': 'Television shows from around the world'}, 'entity': {'id': '10001466882', 'name': 'MLB Baseball', 'description': 'All the latest action from Major League Baseball.'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '768503359732985856', 'name': 'Tom Brady', 'description': 'Tom Brady'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '809509395600003072', 'name': 'Serena Williams', 'description': 'Serena Williams'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '877848588486754304', 'name': 'Mick Jagger', 'description': 'Mick Jagger'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '1423008007818936321', 'name': 'Nolan Ryan'}}, {'domain': {'id': '11', 'name': 'Sport', 'description': 'Types of sports, like soccer and basketball'}, 'entity': {'id': '769193663230468096', 'name': 'Baseball'}}, {'domain': {'id': '26', 'name': 'Sports League', 'description': ''}, 'entity': {'id': '769193602169704448', 'name': 'MLB'}}, {'domain': {'id': '54', 'name': 'Musician', 'description': 'A musician in the world, like Adele or Bob Dylan'}, 'entity': {'id': '877848588486754304', 'name': 'Mick Jagger', 'description': 'Mick Jagger'}}, {'domain': {'id': '55', 'name': 'Music Genre', 'description': 'A category for a musical style, like Pop, Rock, or Rap'}, 'entity': {'id': '806571747730341888', 'name': 'Rock', 'description': 'Rock'}}, {'domain': {'id': '60', 'name': 'Athlete', 'description': 'An athlete in the world, like Serena Williams or Lionel Messi'}, 'entity': {'id': '768503359732985856', 'name': 'Tom Brady', 'description': 'Tom Brady'}}, {'domain': {'id': '60', 'name': 'Athlete', 'description': 'An athlete in the world, like Serena Williams or Lionel Messi'}, 'entity': {'id': '809509395600003072', 'name': 'Serena Williams', 'description': 'Serena Williams'}}, {'domain': {'id': '60', 'name': 'Athlete', 'description': 'An athlete in the world, like Serena Williams or Lionel Messi'}, 'entity': {'id': '1423008007818936321', 'name': 'Nolan Ryan'}}, {'domain': {'id': '10', 'name': 'Person', 'description': 'Named people in the world like Nelson Mandela'}, 'entity': {'id': '875012679076765696', 'name': 'Angelina Jolie', 'description': 'Angelina Jolie'}}, {'domain': {'id': '56', 'name': 'Actor', 'description': 'An actor or actress in the world, like Kate Winslet or Leonardo DiCaprio'}, 'entity': {'id': '875012679076765696', 'name': 'Angelina Jolie', 'description': 'Angelina Jolie'}}]",1460018776867577863,2021-11-14 23:05:17+00:00,"{'mentions': [{'start': 0, 'end': 7, 'username': 'rsosa8', 'id': '36419649'}], 'annotations': [{'start': 8, 'end': 21, 'probability': 0.9917, 'type': 'Person', 'normalized_text': 'Caitlin Jenner'}, {'start': 23, 'end': 37, 'probability': 0.9608, 'type': 'Person', 'normalized_text': 'Serena Williams'}, {'start': 40, 'end': 53, 'probability': 0.9493, 'type': 'Person', 'normalized_text': 'Angelina Jolie'}, {'start': 56, 'end': 64, 'probability': 0.9603, 'type': 'Person', 'normalized_text': 'Tom Brady'}, {'start': 66, 'end': 75, 'probability': 0.9632, 'type': 'Person', 'normalized_text': 'Nolan Ryan'}, {'start': 78, 'end': 88, 'probability': 0.9613, 'type': 'Person', 'normalized_text': 'Mick Jagger'}]}",,36419649,en,[<ReferencedTweet id=1460018776867577863 type=replied_to],225,False,,0,0,1,0,1
1460009272952172547,@braxton_mccoy @FathBehnam she’s not even attractive. looks like she took that selfie with caitlin jenner filter,,1369835700179378178,,1459929234344845313,2021-11-14 22:18:30+00:00,"{'mentions': [{'start': 0, 'end': 14, 'username': 'braxton_mccoy', 'id': '1180173696347987969'}, {'start': 15, 'end': 26, 'username': 'FathBehnam', 'id': '1412793158484770818'}], 'annotations': [{'start': 91, 'end': 104, 'probability': 0.9877, 'type': 'Person', 'normalized_text': 'caitlin jenner'}]}",,1180173696347987969,en,[<ReferencedTweet id=1459929234344845313 type=replied_to],44,False,,0,0,0,0,0
1460004916706086921,RT @YSufferer: Caitlin Jenner said the first time she experienced gender euphoria was when she accidentally killed someone with her car. Ju…,,25400168,,1460004916706086921,2021-11-14 22:01:12+00:00,"{'mentions': [{'start': 3, 'end': 13, 'username': 'YSufferer', 'id': '1358164884991655936'}], 'annotations': [{'start': 15, 'end': 28, 'probability': 0.9946, 'type': 'Person', 'normalized_text': 'Caitlin Jenner'}]}",,,en,[<ReferencedTweet id=1459870822844223488 type=retweeted],1189,False,,5,0,0,0,5
1460003378474500096,@jozzzaphen Caitlin Jenner is about 70..... https://t.co/ebcQgAC6Nu,{'media_keys': ['3_1460003375567806468']},1396993726166228992,,1460001400084176900,2021-11-14 21:55:05+00:00,"{'mentions': [{'start': 0, 'end': 11, 'username': 'jozzzaphen', 'id': '967065527150698496'}], 'annotations': [{'start': 12, 'end': 25, 'probability': 0.9969, 'type': 'Person', 'normalized_text': 'Caitlin Jenner'}], 'urls': [{'start': 44, 'end': 67, 'url': 'https://t.co/ebcQgAC6Nu', 'expanded_url': 'https://twitter.com/drachenovska/status/1460003378474500096/photo/1', 'display_url': 'pic.twitter.com/ebcQgAC6Nu'}]}",,967065527150698496,en,[<ReferencedTweet id=1460001400084176900 type=replied_to],340,False,,0,3,5,0,8
1460001350964633603,@AmosFromWV @Bamnjamn They all turned into Caitlin Jenner,,4560685828,,1459980530074664964,2021-11-14 21:47:02+00:00,"{'mentions': [{'start': 0, 'end': 11, 'username': 'AmosFromWV', 'id': '1362426150384001027'}, {'start': 12, 'end': 21, 'username': 'Bamnjamn', 'id': '537688448'}], 'annotations': [{'start': 43, 'end': 56, 'probability': 0.9952, 'type': 'Person', 'normalized_text': 'Caitlin Jenner'}]}",,1362426150384001027,en,[<ReferencedTweet id=1459980530074664964 type=replied_to],1220,False,,0,2,5,0,7
